jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
17,Ananya Shaju,day-1,Karnataka State,Delhi Ultimate,2,,1,,,,,7,5
88,Apoorva C A,day-1,Karnataka State,Delhi Ultimate,,,,,1,5,4,,
10,Ashwini Lokanath,day-1,Karnataka State,Delhi Ultimate,1,1,,,,4,4,1,
,Auroshree Mohanta,day-1,Karnataka State,Delhi Ultimate,,,,,,,,3,1
55,Meenakshi Kallapa Poojar,day-1,Karnataka State,Delhi Ultimate,3,1,,,,3,3,3,3
,Naina Mathews,day-1,Karnataka State,Delhi Ultimate,,,1,1,1,1,,3,1
,Pooja Raghu,day-1,Karnataka State,Delhi Ultimate,2,1,2,,,3,3,5,4
,Sagarika Ghanagam,day-1,Karnataka State,Delhi Ultimate,,,,,,1,1,4,1
19,Shrilaxmi Patil,day-1,Karnataka State,Delhi Ultimate,,,,,,,,,
,Shruthi Gowda,day-1,Karnataka State,Delhi Ultimate,1,,,,,,,4,2
