"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"88","Anushka Mallah","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","3","1","",""
"8","Harshita Kori","day-1","Madhya Pradesh","Delhi Ultimate","1","","","1","","14","4","5","2"
"12","Jiya Parmar","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","",""
"13","Malti Jhanjhoriya","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","5","3","4","1"
"33","Muskaan Mallah","day-1","Madhya Pradesh","Delhi Ultimate","1","","1","","","13","4","8","3"
"19","Sakshi Mallah","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","3","1","2",""
"22","Shagun Kori","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","",""
"18","Shraddha Tiwari","day-1","Madhya Pradesh","Delhi Ultimate","","1","","","","10","3","3","2"
"81","Shruti Kori","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","2","","1",""
"5","Vandana Jhanjhoriya","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","3","1"
"27","Abhishek Pawar","day-1","Madhya Pradesh","Delhi Ultimate","1","","","","1","4","","1",""
"1","Anish Mallah","day-1","Madhya Pradesh","Delhi Ultimate","1","1","","1","1","10","","3",""
"7","Anurag Patel","day-1","Madhya Pradesh","Delhi Ultimate","","1","","","","2","1","7","2"
"99","Aryan Rawat","day-1","Madhya Pradesh","Delhi Ultimate","2","","1","","","4","","8","3"
"17","Dhanraj Kalar","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","3","1"
"4","Dilbaras Parmar","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","",""
"10","Harsh Kori","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","5","","2",""
"77","Karan Mallah","day-1","Madhya Pradesh","Delhi Ultimate","","3","2","","","4","1","6","3"
"11","Om Yadav","day-1","Madhya Pradesh","Delhi Ultimate","1","","","1","","6","1","1","1"
"3","Radhepal Choudhary","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","2","1"
"2","Rajveer Parmar","day-1","Madhya Pradesh","Delhi Ultimate","","","","","","","","",""
"14","Rizwan Singh","day-1","Madhya Pradesh","Delhi Ultimate","","1","1","3","","6","2","3","1"
"9","Stephen Charles","day-1","Madhya Pradesh","Delhi Ultimate","","","","1","","7","1","",""
"10","Aarti Kumari","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","3","3"
"95","Aastha Gupta","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","5","4","2","1"
"27","Garima Rathore","day-1","Delhi Ultimate","Madhya Pradesh","1","1","1","2","","8","5","11","7"
"12","Khushboo Khatun","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","1","1"
"28","Mansi Walecha","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","2","1"
"8","Mehr Parisha","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","7","4"
"16","Prachi Mehta","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","1","0"
"34","Sangeeta Singh","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","",""
"51","Sowmya Gascon","day-1","Delhi Ultimate","Madhya Pradesh","2","","","","","6","4","11","8"
"3","Suhani Bedi","day-1","Delhi Ultimate","Madhya Pradesh","1","","2","1","1","7","4","11","9"
"2","Veena Singh","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","2",""
"17","Aman Doharey","day-1","Delhi Ultimate","Madhya Pradesh","1","4","4","1","1","1","1","9","8"
"94","Aranyadev Jhala","day-1","Delhi Ultimate","Madhya Pradesh","1","","","","","","","1",""
"23","Jatin Meena","day-1","Delhi Ultimate","Madhya Pradesh","2","1","1","","","7","5","4","4"
"4","Kanishk K","day-1","Delhi Ultimate","Madhya Pradesh","1","2","1","","","4","3","6","3"
"47","Michiaki Ito","day-1","Delhi Ultimate","Madhya Pradesh","","","","","","","","1",""
"13","Mohit Rawat","day-1","Delhi Ultimate","Madhya Pradesh","","","","","1","4","1","",""
"6","Samarth Mishra","day-1","Delhi Ultimate","Madhya Pradesh","2","1","1","1","","2","2","8","8"
"7","Sidharth Walecha","day-1","Delhi Ultimate","Madhya Pradesh","","","1","","","","","3",""
"1","Subhadeep Guha","day-1","Delhi Ultimate","Madhya Pradesh","1","2","","","2","4","1","5","4"
"0","Sunny Chauhan","day-1","Delhi Ultimate","Madhya Pradesh","","1","1","","","1","1","5","2"
"74","Udayan Philip","day-1","Delhi Ultimate","Madhya Pradesh","2","1","","","1","7","4","5","4"
"17","Ananya Shaju","day-1","Karnataka State","Delhi Ultimate","2","","1","","","","","7","5"
"88","Apoorva C A","day-1","Karnataka State","Delhi Ultimate","","","","","1","5","4","",""
"10","Ashwini Lokanath","day-1","Karnataka State","Delhi Ultimate","1","1","","","","4","4","1",""
"","Auroshree Mohanta","day-1","Karnataka State","Delhi Ultimate","","","","","","","","3","1"
"55","Meenakshi Kallapa Poojar","day-1","Karnataka State","Delhi Ultimate","3","1","","","","3","3","3","3"
"","Naina Mathews","day-1","Karnataka State","Delhi Ultimate","","","1","1","1","1","","3","1"
"","Pooja Raghu","day-1","Karnataka State","Delhi Ultimate","2","1","2","","","3","3","5","4"
"","Sagarika Ghanagam","day-1","Karnataka State","Delhi Ultimate","","","","","","1","1","4","1"
"19","Shrilaxmi Patil","day-1","Karnataka State","Delhi Ultimate","","","","","","","","",""
"","Shruthi Gowda","day-1","Karnataka State","Delhi Ultimate","1","","","","","","","4","2"
"2","Sneha Patil","day-1","Karnataka State","Delhi Ultimate","","3","","3","","5","4","6","4"
"3","Stania Peris","day-1","Karnataka State","Delhi Ultimate","3","1","1","","1","6","5","5","4"
"3","Swathi Shetty","day-1","Karnataka State","Delhi Ultimate","1","","","","","","","4","2"
"","Vaishnavi Devi","day-1","Karnataka State","Delhi Ultimate","","","","","","","","4","2"
"","Aaron Varghese","day-1","Karnataka State","Delhi Ultimate","","1","","","","6","5","1","1"
"","Abdul Talib","day-1","Karnataka State","Delhi Ultimate","","","1","","2","2","2","3","1"
"58","Ajith Jagadish","day-1","Karnataka State","Delhi Ultimate","","","","","","1","1","3","1"
"","Chethan Srikanth","day-1","Karnataka State","Delhi Ultimate","","1","","","1","2","2","7","4"
"0","Deepak Gowda","day-1","Karnataka State","Delhi Ultimate","","2","","","","5","4","2","2"
"","Esai Selvan Esakki","day-1","Karnataka State","Delhi Ultimate","","","1","","","1","1","3",""
"18","Grant Wagner","day-1","Karnataka State","Delhi Ultimate","","","","","","","","5","4"
"9","Naveen G","day-1","Karnataka State","Delhi Ultimate","","","","","1","3","3","3","1"
"","Prashanth S","day-1","Karnataka State","Delhi Ultimate","","","","","","","","",""
"13","Ranjan Khyadad","day-1","Karnataka State","Delhi Ultimate","","1","1","","","","","4","2"
"","Sabeel Khader","day-1","Karnataka State","Delhi Ultimate","","","2","","1","3","2","5","4"
"","Samatv Iyer","day-1","Karnataka State","Delhi Ultimate","1","1","","","","3","3","2","1"
"43","Sarang Minhas","day-1","Karnataka State","Delhi Ultimate","1","1","1","","","2","2","7","6"
"","Sushil Kumar","day-1","Karnataka State","Delhi Ultimate","","","","","","","","",""
"","Yadav Ajay","day-1","Karnataka State","Delhi Ultimate","","","","","","","","4","1"
"10","Aarti Kumari","day-1","Delhi Ultimate","Karnataka State","","","","1","","6","1","",""
"95","Aastha Gupta","day-1","Delhi Ultimate","Karnataka State","","","","","","5","2","",""
"27","Garima Rathore","day-1","Delhi Ultimate","Karnataka State","2","","","1","1","14","6","3","1"
